Emp ID,First Name,Last Name,E Mail,Phone No. ,Hours/Week,Full Name
100,Janet,Henderson,janet.henderson@ntlworld.com,239-769-6347,26,Janet Henderson
3,Eugene,Perez,eugene.perez@exxonmobil.com,262-472-7112,40,Eugene Perez
89,Deborah,Smith,deborah.smith@yahoo.com,907-279-8694,30,Deborah Smith
90,Janice,Parker,janice.parker@yahoo.com,314-842-5984,36,Janice Parker
78,Rebecca,Stewart,rebecca.stewart@gmail.com,209-233-7631,30,Rebecca Stewart
94,Phillip,White,phillip.white@gmail.com,503-668-6592,30,Phillip White
73,Jose,Hill,jose.hill@hotmail.com,228-245-5000,32,Jose Hill
48,Harold,Nelson,harold.nelson@gmail.com,217-555-9216,35,Harold Nelson
71,Nicole,Ward,nicole.ward@yahoo.com,231-761-7861,35,Nicole Ward
72,Theresa,Murphy,theresa.murphy@gmail.com,907-356-1555,38,Theresa Murphy
19,Tammy,Young,tammy.young@comcast.net,231-290-3075,34,Tammy Young
